Average Reward,Min Reward,Max Reward,Advantage Mean,Advantage Std,Average Entropy Loss,Last Entropy Loss,Average Policy Loss,Last Policy Loss,Average Value Loss,Last Value Loss
0.61935,-0.41849,0.98938,-0.0,1.0,1.0864,1.08623,-0.00664,-0.03487,1373.849,1304.51929
0.34248,-2.83063,0.99178,-0.0,1.0,1.0845,1.08349,-0.00925,0.05626,1195.1879,1299.1134
0.2476,-3.22422,0.99168,0.0,1.0,1.0847,1.08636,-0.00498,-0.05983,2940.9956,3221.53052
-0.12091,-3.72097,0.99199,0.0,1.0,1.0857,1.08628,-0.01284,0.18699,3912.725,5199.13965
0.81651,-0.34724,0.99148,0.0,1.0,1.0848,1.08302,-0.00562,-0.08619,2948.2468,2929.56738
-0.04994,-2.8509,0.99043,-0.0,1.0,1.0823,1.08264,-0.01821,0.10355,3453.2495,3818.09985
0.17627,-3.54642,0.98823,0.0,1.0,1.0812,1.08015,-0.00899,-0.07708,2591.5652,2851.47119
0.40226,-1.57129,0.99108,-0.0,1.0,1.0799,1.08137,-0.00648,0.07384,844.57166,752.36987
0.37184,-1.49287,0.99078,0.0,1.0,1.0782,1.07516,-0.00656,0.08397,544.27747,599.70972
0.04981,-2.21621,0.99158,0.0,1.0,1.0739,1.07389,-0.00435,-0.00253,2455.9487,2516.35352
-0.1869,-4.52015,0.99178,0.0,1.0,1.0731,1.07186,-0.00863,-0.03314,2276.6907,1961.37207
0.73082,-0.79422,0.99218,0.0,1.0,1.0705,1.06914,-0.0072,0.00754,1921.2552,1785.70361
0.16991,-1.99562,0.99188,0.0,1.0,1.0692,1.06941,-0.0019,-0.03756,766.2212,817.84949
0.46657,-2.4734,0.99188,0.0,1.0,1.0673,1.06604,-0.01078,-0.11199,1473.7269,1395.65503
0.81603,0.05544,0.99118,0.0,1.0,1.0665,1.0671,-0.0051,0.18091,2413.4478,2078.70801
0.65432,-1.30744,0.99068,-0.0,1.0,1.0663,1.06591,-0.00204,-0.14377,2241.6074,2372.56836
0.80546,0.27712,0.99148,-0.0,1.0,1.0657,1.06575,-0.00271,-0.0492,2019.9873,1946.97937
0.78573,-0.15628,0.99218,-0.0,1.0,1.0651,1.06461,-0.00181,0.0072,1645.4105,1546.25916
0.71418,-0.4139,0.99148,-0.0,1.0,1.0643,1.06396,-0.0011,-0.04935,1096.7037,960.13788
-0.0484,-5.28475,0.99168,-0.0,1.0,1.0642,1.06422,-0.00472,0.09312,4741.9585,5701.86621
0.83638,0.19441,0.99198,0.0,1.0,1.0659,1.06784,-0.00683,-0.05372,1894.6783,1910.80945
0.5669,-1.26288,0.99168,-0.0,1.0,1.0687,1.0685,-0.00947,-0.07722,927.68585,879.33398
0.48244,-1.05968,0.99088,-0.0,1.0,1.0713,1.07312,-0.0132,0.0442,499.57452,559.29431
0.03,-3.43315,0.99118,-0.0,1.0,1.0715,1.07066,-0.00815,-0.01657,3681.7356,3282.69629
0.03535,-5.327,0.99168,0.0,1.0,1.0696,1.06912,-0.00435,0.17583,5681.2007,7826.84814
