Average Reward,Reward Min,Reward Max,Advantage Mean,Advantage Std,Entropy Loss,Policy Loss,Value Loss,,,,,,,,,,,Experiment,Measurement,Replication,Module,Module Display Path,Name,Count,Mean,StdDev
-4.8895,-9.3486,0.9603,0,1,0.7258,0.034,1130.1621,~?5?889.53,,,,,,,,,,PPOTraining,,#114,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?986.14
-4.0826,-9.0376,0.9825,0,1,0.7258,0.1166,2201.9058,~?5?082.58,,,,,,,,,,PPOTraining,,#115,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?785.98
-4.1097,-10.9927,0.9815,0,1,0.7258,0.0037,1454.9347,~?5?109.74,,,,,,,,,,PPOTraining,,#116,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?591.04
-4.6281,-10.2921,0.9667,0,1,0.7258,0.2049,1691.0941,~?5?628.11,,,,,,,,,,PPOTraining,,#117,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?906.38
-4.5514,-10.9474,0.983,0,1,0.7258,1.3211,4217.3574,~?5?551.44,,,,,,,,,,PPOTraining,,#118,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?327.39
-4.2671,-8.4166,0.9817,0,1,0.7258,0.0102,651.3467,~?5?267.12,,,,,,,,,,PPOTraining,,#119,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?591.06
-5.2155,-12.5741,0.9872,0,1,0.7258,0.0295,1180.7745,~?6?215.49,,,,,,,,,,PPOTraining,,#120,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?033.51
-5.0208,-11.6201,0.9581,0,1,0.7258,0.0296,2604.4189,~?6?020.78,,,,,,,,,,PPOTraining,,#121,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?405.54
-3.8318,-9.0807,0.9541,0,1,0.7258,0.4598,636.6741,~?4?831.78,,,,,,,,,,PPOTraining,,#122,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?379.83
-4.7289,-10.5526,0.9672,0,1,0.7258,0.4869,816.15,~?5?728.86,,,,,,,,,,PPOTraining,,#123,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?777.14
-4.6695,-10.6955,0.974,0,1,0.7258,0,1957.613,~?5?669.51,,,,,,,,,,PPOTraining,,#124,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?071.97
-3.2336,-8.135,0.9839,0,1,0.7258,0.2505,1743.797,~?4?233.61,,,,,,,,,,PPOTraining,,#125,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?500.87
-5.576,-11.2294,0.9663,0,1,0.7258,0.3851,1335.7106,~?6?575.97,,,,,,,,,,PPOTraining,,#126,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?352.3
-3.3689,-8.3684,0.9679,0,1,0.7258,0.0123,1356.5596,~?4?368.86,,,,,,,,,,PPOTraining,,#127,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?504.65
-2.5018,-7.4635,0.955,0,1,0.7258,0.1702,349.2286,~?3?501.75,,,,,,,,,,PPOTraining,,#128,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?087.29
-2.3632,-6.7344,0.9652,0,1,0.7258,0.0163,278.0283,~?3?363.17,,,,,,,,,,PPOTraining,,#129,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?1?931.47
